window_end_time,Axis1_Smooth,Axis2_Smooth,Axis3_Smooth,Axis4_Smooth,Axis5_Smooth,Axis6_Smooth,Axis7_Smooth,Axis8_Smooth
1946.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2068.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2159.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2189.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2218.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2308.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2339.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2369.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2397.997,0.1469717999999999,0.3352662,0.7380074000000001,0.0485216,0.1109804,0.0541995999999999,0.0016694,0.0043164
2428.602,0.6441744,3.2293098,2.5366368,0.5332218000000001,0.8930052,0.573485,0.7705436,0.1032014
2459.041,1.3091958,4.6926728,3.3674224,0.951334,1.5330781999999998,0.8625506000000001,1.2005312,0.1239986
2489.937,1.6213802000000002,6.444913000000001,4.8476544,1.3689302,1.9155734,1.0628316,1.8568404,0.2260228
2518.925,1.7918048,7.227200399999999,5.474961,1.6105062,2.1695376,1.2213014,2.123466,0.2283772
2549.046,1.7282213999999998,7.4475484,5.8914078,1.6657386,1.9191862,1.031344,2.0865008,0.2209216
2579.695,1.611999,7.3125986,5.526621199999999,1.5800516,1.6724485999999998,0.8548076,2.0099472,0.1899217999999999
2609.61,1.408219,9.291513,6.549288000000001,1.5196574,1.5377236,0.9890162,1.7392671999999998,0.14715
2628.664,1.048086,7.7627834,5.878755799999999,1.1738112,1.5552744,1.0669605999999998,1.4309067999999998,0.141264
2969.138,0.927694,8.6357412,5.3663676,1.1923941999999998,1.6894832,1.0106962,1.6741616,0.1071251999999999
2999.172,1.3837237999999998,9.5983138,6.3342116,1.3317651999999998,1.9744188,1.0968996,1.7922114,0.1879598
3029.824,1.1961004,8.7696368,5.7954664000000005,1.2884053999999998,1.730262,0.982822,1.732352,0.183251
3059.76,0.7218298,4.3837644,2.9130206,0.5502566,1.1774246000000002,0.5554184,0.9646704,0.1063406
3088.193,0.5894512000000001,2.1760678,2.1591988,0.2193802,0.4191444,0.1662126,0.6033660000000001,0.0937838
3118.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3148.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3179.404,0.1183072,3.1976804,1.8408016,0.4144988,0.8016398000000001,0.3520404,0.6026504,0.0211896
3209.866,0.2751813999999999,4.517659,2.8676864,0.6648499999999999,1.7235516000000002,0.5177366,0.7629117999999999,0.1408718
3238.78,0.7077578,6.880337399999999,5.0680026,1.0153418,2.3135544,1.392159,1.2744616,0.2154278
3269.067,0.8693228000000001,7.0237218,5.0680026,1.0752195999999998,2.3135544,1.392159,1.4273302,0.2177822
3299.582,1.2091296,6.369003799999999,4.794939599999999,1.1495506,2.2263188,1.6357988,1.3827336000000003,0.253883
3328.313,1.136686,6.4227738,4.5134424,1.0839948,1.9837104,1.8056248,1.6352884,0.1640232
3358.716,1.1872402,6.673696399999999,4.4638906,0.9275894,1.848985,1.7354231999999998,1.6612834,0.1640233999999999
3389.516,1.5478942,7.9377968,4.4269902000000005,1.0834782,1.9506742,1.3436366000000002,1.9765606,0.161669
3419.74,1.4530404,8.5313654,4.0832896000000005,1.1794898,2.114822,1.0442478000000002,2.0037478,0.1126189999999999
3449.889,1.4931714,8.090669400000001,4.1939908,1.196524,2.0208762,1.0199868,1.7848190000000002,0.1483274
3478.486,1.1747326,7.8376386,3.8545072,1.1469704,2.0208762,1.0199868,1.7280596,0.1483274
3508.871,0.8703654000000001,6.831840400000001,4.5651028,1.4716523999999995,1.7318112,0.8548070000000001,1.6541294,0.2201368
3539.323,0.922483,6.964681800000001,4.8086452,1.4799114,1.7540072,0.8563556000000001,1.6574682,0.2264152
3569.695,0.8140774000000001,6.9773328,4.5672112,1.5000422,1.4195172,0.6602046,1.713035,0.1377326
3599.875,1.1966214,7.5487612,5.3516076,1.5852134,1.5279168,0.7200824,1.8241688,0.2130736
3626.445,1.196621,6.8792826,5.4148654,1.3818354,2.0807538,0.9441076,1.4411626000000002,0.1930612
3659.134,1.2013116,6.956246200000001,5.5508696,1.3962886,2.0962394,0.9601094,1.4411626000000002,0.187175
3689.752,1.5249622,7.3494992,5.695308600000001,1.3436374,2.1447606,1.0566366,1.5391796,0.1699094
3719.782,1.574474,7.4433316,5.8365844,1.3730599999999995,2.1612786,1.0974154,1.555158,0.1703016
3748.593,1.884053,8.9667898,5.2746444,1.4922996,1.607409,1.0819298000000002,2.2272074,0.2189594
3778.697,1.884053,8.9667898,4.8950978,1.4897186,1.607409,1.0277302,2.2272074,0.2189594
3808.937,1.4598154000000003,7.9061672,4.3974694,1.15781,1.5124308,1.0550886,1.8661422,0.2715412
3839.328,1.4561672,7.8987872,4.4069582,1.1443892,1.5057204,1.0581855999999998,1.9090692,0.2707564
3868.154,0.5868448,3.7838688,2.8054822,0.3876574,0.9420432,0.5007026,0.6951826,0.1612766
3899.607,0.5555742000000001,3.668950600000001,2.5113336,0.3422328,0.9095234,0.4831522,0.657979,0.1444034
3929.593,0.7187026,2.1992626,1.9926202,0.5125746,1.1325166000000002,0.4563102,0.6009813999999999,0.1287074
3959.484,0.7833285999999999,2.7896684,2.2604114,0.7242116,1.2791138000000002,0.743827,0.7707824,0.1290998
